Current (mA),x uncertainty,Hall Voltage (mV),y uncertainty
3.07,0.005,1,0.01
4.04,0.005,1.1,0.01
5.03,0.005,1.5,0.01
6.03,0.005,1.9,0.01
6.98,0.005,2.05,0.01
8,0.005,2.25,0.01
9.03,0.005,2.7,0.01
9.99,0.005,3,0.01
11.07,0.005,3.2,0.01
