Black Body Radiation Experiment Wed, Mar 04, 2020 9:34 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.13751
0.00000	-0.13831
0.00000	-0.14314
0.00000	-0.13944
0.00000	-0.14217
0.00000	-0.13799
0.00000	-0.13509
0.00000	-0.13670
0.00000	-0.14298
0.00000	-0.14089
0.00000	-0.13686
0.00000	-0.13815
0.00000	-0.13783
0.00000	-0.14185
0.00000	-0.13686
0.00000	-0.13606
0.00000	-0.13831
0.00000	-0.13702
0.00000	-0.14121
0.00000	-0.13590
0.00000	-0.13606
0.00000	-0.13751
0.00000	-0.13702
0.00000	-0.13574
0.00000	-0.13622
0.00000	-0.14040
0.00000	-0.13734
0.00000	-0.13928
0.00000	-0.14105
0.00000	-0.13686
0.00000	-0.14137
0.00000	-0.13396
0.00000	-0.13702
0.00000	-0.13879
0.00000	-0.13783
0.00000	-0.13847
0.00000	-0.13799
0.00000	-0.13928
0.00000	-0.14169
0.00000	-0.13622
0.00000	-0.13541
0.00000	-0.13718
0.00000	-0.13928
0.00000	-0.13187
0.00000	-0.13702
0.00000	-0.13702
0.00000	-0.14298
0.00000	-0.13847
0.00000	-0.13638
0.00000	-0.14298
0.00000	-0.14073
0.00000	-0.13718
0.00000	-0.14250
0.00000	-0.13815
0.00000	-0.14153
0.00000	-0.13493
0.00000	-0.13895
0.00000	-0.14008
0.00000	-0.13348
0.00000	-0.14024
0.00000	-0.13960
0.00000	-0.13992
0.00000	-0.13815
0.00000	-0.13702
0.00000	-0.13783
0.00000	-0.13622
0.00000	-0.14137
0.00000	-0.13686
0.00000	-0.13944
0.00000	-0.14105
0.00000	-0.14443
0.00000	-0.13815
0.00000	-0.13638
0.00000	-0.13622
0.00000	-0.14314
0.00000	-0.14056
0.00000	-0.13895
0.00000	-0.13557
0.00000	-0.14298
0.00000	-0.14089
0.00000	-0.13557
0.00000	-0.13686
0.00000	-0.14073
0.00000	-0.14137
0.00000	-0.13686
0.00000	-0.13783
0.00000	-0.13767
0.00000	-0.14298
0.00000	-0.13992
0.00000	-0.13413
0.00000	-0.13541
0.00000	-0.13992
0.00000	-0.13944
0.00000	-0.14024
0.00000	-0.13799
0.00000	-0.13879
0.00000	-0.14346
0.00000	-0.13912
0.00000	-0.14073
0.00000	-0.14008
0.00000	-0.14314
0.00000	-0.14008
0.00000	-0.13509
0.00000	-0.14217
0.00000	-0.14314
0.00000	-0.13976
0.00000	-0.13879
0.00000	-0.14105
0.00000	-0.14121
0.00000	-0.13654
0.00000	-0.14201
0.00000	-0.14282
0.00000	-0.14040
0.00000	-0.13815
0.00000	-0.13718
0.00000	-0.13944
0.00000	-0.14427
0.00000	-0.13718
0.00000	-0.13751
0.00000	-0.14378
0.00000	-0.14153
0.00000	-0.13702
0.00000	-0.13638
0.00000	-0.14571
0.00000	-0.14024
0.00000	-0.13895
0.00000	-0.13928
0.01035	-0.13606
0.01035	-0.14040
0.01035	-0.14250
0.01035	-0.13944
0.01035	-0.14105
0.01035	-0.14105
0.01035	-0.13895
0.01035	-0.13815
0.01035	-0.14266
0.01035	-0.13960
0.01035	-0.13863
0.01035	-0.14105
0.01035	-0.14105
0.01035	-0.13863
0.01035	-0.13783
0.02070	-0.13638
0.02070	-0.14233
0.02070	-0.13944
0.02070	-0.14298
0.02070	-0.13928
0.03104	-0.14073
0.03104	-0.13928
0.04139	-0.13863
0.04139	-0.13992
0.05174	-0.13751
0.05174	-0.14217
0.06209	-0.14185
0.07244	-0.14089
0.08279	-0.13912
0.09313	-0.14040
0.10348	-0.13799
0.12418	-0.13751
0.40358	-0.14346
1.61432	-0.13992
2.93889	-0.13847
4.13928	-0.13751
5.23619	-0.14024
6.30205	-0.13847
7.55418	-0.13783
8.70283	-0.13702
9.79974	-0.14121
10.96909	-0.13783
12.08669	-0.13879
12.99733	-0.13622
14.15633	-0.13976
15.20150	-0.13557
16.21562	-0.13219
17.26079	-0.12495
18.21283	-0.10708
19.56844	-0.05461
20.85162	-0.03594
22.11410	-0.04946
23.26274	-0.06266
23.98712	-0.07586
24.86672	-0.08713
25.61179	-0.09775
26.41894	-0.10306
27.24680	-0.10467
28.14709	-0.11288
29.16122	-0.11964
30.05116	-0.11674
