Black Body Radiation Experiment Wed, Mar 04, 2020 9:33 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.11916
0.00000	-0.11417
0.00000	-0.12077
0.00000	-0.11948
0.00000	-0.11771
0.00000	-0.11706
0.00000	-0.11723
0.00000	-0.11739
0.00000	-0.12077
0.00000	-0.11980
0.00000	-0.11658
0.00000	-0.11739
0.00000	-0.11497
0.00000	-0.12061
0.00000	-0.11674
0.00000	-0.11771
0.00000	-0.11610
0.00000	-0.11545
0.00000	-0.11674
0.00000	-0.11674
0.00000	-0.11610
0.00000	-0.11642
0.00000	-0.12012
0.00000	-0.11578
0.00000	-0.11867
0.00000	-0.11723
0.00000	-0.11352
0.00000	-0.11723
0.00000	-0.11465
0.00000	-0.11529
0.00000	-0.11626
0.00000	-0.12012
0.00000	-0.11562
0.00000	-0.11787
0.00000	-0.11835
0.00000	-0.11835
0.00000	-0.11835
0.00000	-0.11674
0.00000	-0.11723
0.00000	-0.11706
0.00000	-0.11916
0.00000	-0.12012
0.00000	-0.11867
0.00000	-0.11706
0.00000	-0.12157
0.00000	-0.11803
0.00000	-0.11642
0.00000	-0.11932
0.00000	-0.11900
0.00000	-0.11529
0.00000	-0.11835
0.00000	-0.11706
0.00000	-0.11739
0.00000	-0.11658
0.00000	-0.12173
0.00000	-0.12044
0.00000	-0.11819
0.00000	-0.11626
0.00000	-0.11723
0.00000	-0.11900
0.00000	-0.11723
0.00000	-0.11706
0.00000	-0.12044
0.00000	-0.11900
0.00000	-0.11771
0.00000	-0.11835
0.00000	-0.11867
0.00000	-0.11755
0.00000	-0.11626
0.00000	-0.12109
0.00000	-0.12173
0.00000	-0.11835
0.00000	-0.11594
0.00000	-0.11674
0.00000	-0.12109
0.00000	-0.11723
0.00000	-0.11851
0.00000	-0.11835
0.00000	-0.11739
0.00000	-0.11787
0.00000	-0.11658
0.00000	-0.11900
0.00000	-0.11883
0.00000	-0.11803
0.00000	-0.11497
0.00000	-0.11562
0.00000	-0.11674
0.00000	-0.11980
0.00000	-0.12173
0.00000	-0.11594
0.00000	-0.11723
0.00000	-0.11996
0.00000	-0.12044
0.00000	-0.11578
0.00000	-0.11658
0.00000	-0.12125
0.00000	-0.11883
0.00000	-0.11481
0.00000	-0.11883
0.00000	-0.11883
0.00000	-0.12173
0.00000	-0.12238
0.00000	-0.11513
0.00000	-0.11787
0.00000	-0.11851
0.00000	-0.11787
0.00000	-0.11835
0.00000	-0.11626
0.00000	-0.11578
0.00000	-0.12028
0.00000	-0.11835
0.00000	-0.11417
0.00000	-0.11835
0.00000	-0.11900
0.00000	-0.11578
0.00000	-0.11465
0.00000	-0.11835
0.00000	-0.11948
0.00000	-0.11803
0.00000	-0.11706
0.00000	-0.11771
0.00000	-0.11916
0.00000	-0.11739
0.00000	-0.11610
0.00000	-0.12399
0.00000	-0.11385
0.00000	-0.11819
0.00000	-0.12012
0.00000	-0.11948
0.00000	-0.11787
0.00000	-0.11401
0.00000	-0.11916
0.00000	-0.12061
0.00000	-0.11497
0.00000	-0.11900
0.00000	-0.11996
0.00000	-0.11481
0.00000	-0.11465
0.00000	-0.11964
0.00000	-0.11900
0.00000	-0.11900
0.00000	-0.11900
0.00000	-0.11964
0.00000	-0.12399
0.00000	-0.11964
0.00000	-0.11964
0.00000	-0.11771
0.00000	-0.11723
0.00000	-0.11513
0.00000	-0.11900
0.00000	-0.12270
0.00000	-0.11819
0.00000	-0.11835
0.00000	-0.11723
0.00000	-0.12077
0.00000	-0.11771
0.00000	-0.12173
0.00000	-0.11980
0.00000	-0.11916
0.00000	-0.11497
0.00000	-0.11787
0.00000	-0.12141
0.00000	-0.11674
0.00000	-0.11674
0.00000	-0.11835
0.00000	-0.11755
0.00000	-0.11674
0.00000	-0.11723
0.00000	-0.11642
0.00000	-0.11835
0.00000	-0.11529
0.00000	-0.11819
0.00000	-0.11739
0.00000	-0.11867
0.00000	-0.11610
0.00000	-0.12221
0.00000	-0.11980
0.00000	-0.11771
0.01035	-0.12221
0.01035	-0.11771
0.01035	-0.12173
0.01035	-0.11706
0.01035	-0.11916
0.01035	-0.11980
0.01035	-0.11948
0.01035	-0.11626
0.01035	-0.12012
0.01035	-0.11706
0.01035	-0.11562
0.01035	-0.12109
0.02070	-0.11867
0.02070	-0.12173
0.02070	-0.11980
0.02070	-0.11610
0.02070	-0.11755
0.03104	-0.11948
0.03104	-0.12109
0.03104	-0.11642
0.04139	-0.11980
0.04139	-0.12093
0.05174	-0.12077
0.06209	-0.11706
0.07244	-0.12012
0.08279	-0.11706
0.09313	-0.12061
0.10348	-0.11723
0.15522	-0.11626
0.73472	-0.11835
1.54188	-0.12093
2.45252	-0.12093
3.39421	-0.12286
4.00475	-0.11658
4.82226	-0.11867
5.46385	-0.11787
5.99161	-0.12125
6.47797	-0.11497
6.85051	-0.12173
7.20234	-0.11449
7.54383	-0.11594
7.86463	-0.11835
8.14403	-0.11723
8.46482	-0.11674
8.77527	-0.11916
9.16850	-0.11835
9.57208	-0.12221
9.95496	-0.11835
10.38959	-0.11803
10.90700	-0.12318
11.42441	-0.11964
11.87973	-0.11465
12.29366	-0.11626
12.70758	-0.11417
13.12151	-0.11256
13.50440	-0.12157
14.11494	-0.11690
14.57026	-0.11159
14.95314	-0.11224
15.58438	-0.11191
16.08110	-0.10580
16.56746	-0.10258
17.22975	-0.08664
17.98516	-0.05300
18.75093	-0.00488
19.69262	0.03440
20.60326	0.03939
21.50355	0.02506
22.43489	-0.00085
22.99369	-0.01469
23.52145	-0.03208
24.17339	-0.03932
24.86672	-0.05139
25.58074	-0.06395
26.30511	-0.06845
26.99844	-0.07264
27.65038	-0.08294
28.29197	-0.08536
28.89216	-0.08970
29.52340	-0.09389
30.15464	-0.09566
