Black Body Radiation Experiment Wed, Mar 04, 2020 9:35 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.25195
0.00000	-0.25887
0.00000	-0.22024
0.00000	-0.26579
0.00000	-0.26000
0.00000	-0.26064
0.00000	-0.21654
0.00000	-0.24084
0.00000	-0.22539
0.00000	-0.25710
0.00000	-0.24309
0.00000	-0.22829
0.00000	-0.23022
0.00000	-0.26499
0.00000	-0.24808
0.00000	-0.24052
0.00000	-0.22668
0.00000	-0.26386
0.00000	-0.25034
0.00000	-0.22201
0.00000	-0.24068
0.00000	-0.26016
0.00000	-0.25243
0.00000	-0.22056
0.00000	-0.22120
0.00000	-0.28221
0.00000	-0.27368
0.00000	-0.25613
0.00000	-0.25034
0.00000	-0.24567
0.00000	-0.27110
0.00000	-0.29122
0.00000	-0.26209
0.00000	-0.24374
0.00000	-0.25983
0.00000	-0.27802
-0.01035	-0.28398
-0.01035	-0.27593
-0.01035	-0.25291
0.00000	-0.26482
0.00000	-0.30329
-0.01035	-0.29090
-0.01035	-0.27641
0.00000	-0.26225
-0.01035	-0.30683
-0.01035	-0.30184
-0.01035	-0.30812
-0.01035	-0.28993
-0.01035	-0.30024
-0.01035	-0.32985
-0.01035	-0.31070
-0.01035	-0.31231
-0.01035	-0.29009
-0.01035	-0.31488
-0.01035	-0.28382
-0.01035	-0.34096
-0.01035	-0.30700
-0.01035	-0.30700
-0.01035	-0.30732
-0.01035	-0.34595
-0.01035	-0.35754
-0.01035	-0.29766
-0.01035	-0.33951
-0.01035	-0.34514
-0.01035	-0.33838
-0.01035	-0.30555
-0.01035	-0.31987
-0.01035	-0.34257
-0.01035	-0.34546
-0.01035	-0.30989
-0.01035	-0.30168
-0.01035	-0.33146
-0.01035	-0.33516
-0.01035	-0.30748
-0.01035	-0.30024
-0.01035	-0.32261
-0.01035	-0.34691
-0.01035	-0.31424
-0.01035	-0.30281
-0.01035	-0.32905
-0.01035	-0.36333
-0.01035	-0.33661
-0.01035	-0.34659
-0.01035	-0.32277
-0.01035	-0.33951
-0.01035	-0.37782
-0.01035	-0.35963
-0.01035	-0.36929
-0.01035	-0.33709
-0.01035	-0.32567
-0.01035	-0.37894
-0.01035	-0.37363
-0.01035	-0.34450
-0.01035	-0.35029
-0.01035	-0.37363
-0.01035	-0.37830
-0.01035	-0.34337
-0.01035	-0.34031
-0.01035	-0.37025
-0.01035	-0.40116
-0.01035	-0.37669
-0.01035	-0.35754
-0.01035	-0.37540
-0.01035	-0.40244
-0.01035	-0.39633
-0.01035	-0.36526
-0.01035	-0.38426
-0.01035	-0.41436
-0.01035	-0.38699
-0.01035	-0.39697
-0.01035	-0.37653
-0.01035	-0.42417
-0.01035	-0.42530
-0.01035	-0.41146
-0.01035	-0.38200
-0.01035	-0.38828
-0.01035	-0.43222
-0.01035	-0.40985
-0.01035	-0.42256
-0.01035	-0.38168
-0.01035	-0.39826
-0.01035	-0.43464
-0.01035	-0.41532
-0.01035	-0.38731
-0.01035	-0.39971
-0.01035	-0.43866
-0.01035	-0.41258
-0.01035	-0.38442
-0.01035	-0.41242
-0.01035	-0.42755
-0.01035	-0.40776
-0.01035	-0.37846
-0.01035	-0.40261
-0.01035	-0.43496
-0.01035	-0.41741
-0.01035	-0.39182
-0.01035	-0.39037
-0.01035	-0.44413
-0.01035	-0.42788
-0.01035	-0.43448
0.00000	-0.41934
-0.01035	-0.39166
-0.01035	-0.41065
-0.01035	-0.43351
-0.01035	-0.42208
-0.01035	-0.39794
-0.01035	-0.41645
-0.01035	-0.45653
-0.01035	-0.42224
-0.01035	-0.43625
-0.01035	-0.40615
-0.01035	-0.42643
-0.01035	-0.45427
-0.01035	-0.42063
-0.01035	-0.40180
-0.01035	-0.44284
-0.01035	-0.44124
-0.01035	-0.40808
-0.01035	-0.40212
-0.01035	-0.42627
-0.01035	-0.44735
-0.01035	-0.40969
-0.01035	-0.40051
-0.01035	-0.44429
-0.01035	-0.44478
-0.01035	-0.40148
-0.01035	-0.39874
-0.01035	-0.43818
-0.01035	-0.44993
-0.01035	-0.41291
-0.01035	-0.39214
-0.01035	-0.41790
-0.01035	-0.44333
-0.01035	-0.41661
-0.01035	-0.39890
-0.01035	-0.41983
-0.01035	-0.46152
-0.01035	-0.41500
-0.01035	-0.44864
-0.01035	-0.41452
0.00000	-0.40840
0.00000	-0.45089
-0.01035	-0.44961
-0.01035	-0.40132
-0.01035	-0.41532
-0.01035	-0.43657
-0.01035	-0.45105
-0.01035	-0.42079
-0.01035	-0.40293
-0.01035	-0.44059
-0.01035	-0.42385
-0.01035	-0.41886
-0.01035	-0.40373
-0.01035	-0.44510
-0.01035	-0.43737
-0.01035	-0.41468
-0.01035	-0.40035
-0.01035	-0.44349
-0.01035	-0.43802
-0.01035	-0.40325
-0.01035	-0.38490
-0.01035	-0.41918
-0.01035	-0.44542
-0.01035	-0.40727
-0.01035	-0.38892
-0.01035	-0.43287
-0.01035	-0.45363
-0.01035	-0.42739
-0.01035	-0.36736
-0.01035	-0.38876
-0.01035	-0.43270
-0.01035	-0.39745
-0.01035	-0.37331
-0.01035	-0.38104
-0.01035	-0.42063
-0.01035	-0.40132
-0.01035	-0.38908
-0.01035	-0.37573
-0.01035	-0.42804
-0.01035	-0.42224
-0.01035	-0.37959
-0.01035	-0.37444
-0.01035	-0.41194
-0.01035	-0.41436
-0.01035	-0.43222
-0.01035	-0.39391
-0.01035	-0.38844
-0.01035	-0.42788
-0.01035	-0.44413
-0.01035	-0.41098
-0.01035	-0.38313
-0.01035	-0.42321
-0.01035	-0.43657
-0.01035	-0.39166
-0.01035	-0.39150
-0.01035	-0.42305
-0.01035	-0.44252
-0.01035	-0.41468
-0.01035	-0.39407
-0.01035	-0.42192
-0.01035	-0.43673
-0.01035	-0.40727
-0.01035	-0.41774
-0.01035	-0.42112
-0.01035	-0.44445
-0.01035	-0.40196
-0.01035	-0.41532
-0.01035	-0.44156
-0.01035	-0.41741
-0.01035	-0.41661
-0.01035	-0.40550
-0.01035	-0.42965
-0.01035	-0.42723
-0.01035	-0.41065
-0.01035	-0.40373
-0.01035	-0.42337
-0.01035	-0.43415
-0.01035	-0.43206
-0.01035	-0.41468
-0.01035	-0.43142
-0.01035	-0.43174
-0.01035	-0.43270
-0.01035	-0.39826
-0.01035	-0.42208
-0.01035	-0.44043
-0.01035	-0.44510
-0.01035	-0.41001
-0.01035	-0.40518
-0.01035	-0.43625
-0.01035	-0.43287
-0.01035	-0.41098
-0.01035	-0.40261
-0.01035	-0.42385
-0.01035	-0.42417
-0.01035	-0.42144
-0.01035	-0.41596
-0.01035	-0.43109
-0.01035	-0.43077
-0.01035	-0.41403
-0.02070	-0.40808
-0.02070	-0.42611
-0.02070	-0.43013
-0.02070	-0.42884
-0.02070	-0.42788
-0.02070	-0.41500
-0.02070	-0.42739
-0.02070	-0.43319
-0.02070	-0.41548
-0.02070	-0.41661
-0.02070	-0.40228
-0.02070	-0.42820
-0.02070	-0.40872
-0.02070	-0.40808
-0.02070	-0.40727
-0.02070	-0.44413
-0.02070	-0.43109
-0.02070	-0.42208
-0.02070	-0.41709
-0.02070	-0.43979
-0.02070	-0.42015
-0.02070	-0.41339
-0.01035	-0.42353
-0.01035	-0.44268
-0.01035	-0.42240
-0.01035	-0.41307
-0.01035	-0.44188
-0.01035	-0.44494
-0.01035	-0.43109
-0.01035	-0.41387
-0.01035	-0.42450
-0.01035	-0.43126
0.00000	-0.42144
0.00000	-0.43093
0.00000	-0.42192
0.00000	-0.44413
0.00000	-0.43737
0.00000	-0.41403
0.00000	-0.41194
0.01035	-0.44124
0.01035	-0.44027
0.01035	-0.44429
0.02070	-0.41130
0.03104	-0.41999
0.05174	-0.43303
0.33114	-0.41371
1.19004	-0.43448
2.03859	-0.43802
2.74227	-0.43818
3.30107	-0.43448
3.79779	-0.43431
4.32555	-0.43641
4.84296	-0.42401
5.43280	-0.43109
6.08474	-0.43641
6.68493	-0.44349
7.24374	-0.42884
7.75080	-0.42659
8.21647	-0.43254
8.77527	-0.41838
9.32372	-0.43641
9.89288	-0.44075
10.37924	-0.42031
10.83456	-0.41580
11.35197	-0.41918
11.87973	-0.40840
12.32470	-0.41291
12.83176	-0.40599
13.36987	-0.39842
13.98041	-0.41130
14.55991	-0.39086
15.14976	-0.40309
15.68787	-0.39601
16.29841	-0.39826
16.92965	-0.37251
17.55054	-0.33066
18.17143	-0.21718
18.84407	-0.08825
19.51670	0.03070
20.36525	0.10763
21.27589	0.03392
22.15549	-0.00777
22.79708	-0.06878
23.30414	-0.11674
23.80085	-0.18370
24.38035	-0.21718
24.90811	-0.25195
25.42552	-0.25662
25.97397	-0.27352
26.60521	-0.28156
27.19506	-0.30249
27.76421	-0.30168
28.29197	-0.33307
28.89216	-0.32599
29.41992	-0.34627
30.00977	-0.34305
