Black Body Radiation Experiment Wed, Mar 04, 2020 9:35 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.18113
0.00000	-0.17324
0.00000	-0.17839
0.00000	-0.17775
0.00000	-0.17710
0.00000	-0.18225
0.00000	-0.17726
0.00000	-0.17871
0.00000	-0.17791
0.00000	-0.18177
0.00000	-0.17469
0.00000	-0.17678
0.00000	-0.18080
0.00000	-0.17936
0.00000	-0.17485
0.00000	-0.17952
0.00000	-0.17678
0.00000	-0.17871
0.00000	-0.17903
0.00000	-0.17726
0.00000	-0.18080
0.00000	-0.17533
0.00000	-0.17614
0.00000	-0.18129
0.00000	-0.17871
0.00000	-0.17775
0.00000	-0.17823
0.00000	-0.17356
0.00000	-0.17855
0.00000	-0.17549
0.00000	-0.17356
0.00000	-0.17823
0.00000	-0.17678
0.00000	-0.17388
0.00000	-0.17646
0.00000	-0.17758
0.00000	-0.18016
0.00000	-0.17855
0.00000	-0.17952
0.00000	-0.17614
0.00000	-0.17565
0.00000	-0.17839
0.00000	-0.17791
0.00000	-0.18193
0.00000	-0.17501
0.00000	-0.17694
0.00000	-0.17372
0.00000	-0.17871
0.00000	-0.17823
0.00000	-0.17758
0.00000	-0.17501
0.00000	-0.17420
0.00000	-0.17549
0.00000	-0.17243
0.00000	-0.18096
0.00000	-0.18322
0.00000	-0.17533
0.00000	-0.17807
0.00000	-0.17501
0.00000	-0.17678
0.00000	-0.17646
0.00000	-0.17598
0.00000	-0.17372
0.00000	-0.17662
0.00000	-0.17710
0.00000	-0.17420
0.00000	-0.18064
0.00000	-0.18161
0.00000	-0.17871
0.00000	-0.17517
0.00000	-0.17823
0.00000	-0.17581
0.00000	-0.17903
0.00000	-0.17549
0.00000	-0.17501
0.00000	-0.17839
0.00000	-0.17791
0.00000	-0.17259
0.00000	-0.17356
0.00000	-0.17791
0.00000	-0.17646
0.00000	-0.17807
0.00000	-0.17662
0.00000	-0.17694
0.00000	-0.17726
0.00000	-0.17807
0.00000	-0.17404
0.00000	-0.17356
0.00000	-0.17565
0.00000	-0.17903
0.00000	-0.17485
0.00000	-0.17807
0.00000	-0.17678
0.00000	-0.17404
0.00000	-0.17388
0.00000	-0.18096
0.00000	-0.17807
0.00000	-0.17437
0.00000	-0.17533
0.00000	-0.18032
0.00000	-0.18161
0.00000	-0.17839
0.00000	-0.17324
0.00000	-0.17903
0.00000	-0.17839
0.00000	-0.17292
0.00000	-0.18113
0.00000	-0.17936
0.00000	-0.17485
0.00000	-0.17324
0.00000	-0.17694
0.00000	-0.17324
0.00000	-0.17742
0.00000	-0.17147
0.00000	-0.17742
0.00000	-0.18161
0.01035	-0.18209
0.01035	-0.17292
0.01035	-0.17179
0.01035	-0.17324
0.01035	-0.17662
0.01035	-0.17758
0.01035	-0.17646
0.01035	-0.17356
0.01035	-0.17678
0.01035	-0.17726
0.01035	-0.17533
0.01035	-0.17614
0.01035	-0.17565
0.01035	-0.17581
0.01035	-0.17581
0.01035	-0.17437
0.01035	-0.17565
0.01035	-0.17758
0.01035	-0.17420
0.01035	-0.17887
0.01035	-0.17308
0.01035	-0.17404
0.01035	-0.17211
0.01035	-0.17614
0.02070	-0.17823
0.02070	-0.17211
0.02070	-0.17485
0.02070	-0.17501
0.02070	-0.18016
0.02070	-0.17742
0.03104	-0.17404
0.03104	-0.17581
0.03104	-0.17662
0.03104	-0.17855
0.03104	-0.17758
0.03104	-0.17517
0.03104	-0.17968
0.03104	-0.17984
0.04139	-0.17968
0.04139	-0.17420
0.04139	-0.17356
0.04139	-0.17662
0.04139	-0.17758
0.04139	-0.18064
0.04139	-0.17420
0.05174	-0.17758
0.05174	-0.17710
0.05174	-0.17630
0.05174	-0.17919
0.05174	-0.18322
0.06209	-0.17501
0.06209	-0.17726
0.06209	-0.17807
0.06209	-0.18129
0.07244	-0.17437
0.07244	-0.17533
0.08279	-0.17726
0.09313	-0.18177
0.12418	-0.17581
0.61054	-0.17646
1.45910	-0.17968
2.25591	-0.17066
3.12516	-0.17420
4.47042	-0.17742
5.38106	-0.18080
6.32275	-0.17839
7.19200	-0.17887
7.80254	-0.17614
8.45448	-0.17694
9.03398	-0.17710
9.55139	-0.17581
10.06879	-0.17758
10.56551	-0.17324
11.12431	-0.17533
11.70381	-0.17453
12.20052	-0.17758
12.68689	-0.17726
13.25604	-0.17775
13.89763	-0.17758
14.50817	-0.17742
15.09802	-0.17646
15.67752	-0.17099
16.29841	-0.17243
16.97104	-0.17195
17.63333	-0.16406
18.32666	-0.15070
19.26834	-0.12881
20.17898	-0.11417
21.27589	-0.11095
22.22793	-0.12334
23.28344	-0.13461
23.84224	-0.13944
24.49418	-0.14716
25.17716	-0.14797
25.77736	-0.15296
26.40860	-0.15425
27.06053	-0.15666
27.73317	-0.15956
28.46789	-0.16632
29.17156	-0.16567
29.87524	-0.16825
30.56857	-0.17082
