Black Body Radiation Experiment Wed, Mar 04, 2020 9:34 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.14475
0.00000	-0.14732
0.00000	-0.15103
0.00000	-0.14652
0.00000	-0.15167
0.00000	-0.14749
0.00000	-0.14813
0.00000	-0.14942
0.00000	-0.14636
0.00000	-0.14893
0.00000	-0.14749
0.00000	-0.15135
0.00000	-0.14362
0.00000	-0.14411
0.00000	-0.14362
0.00000	-0.14765
0.00000	-0.14588
0.00000	-0.14362
0.00000	-0.14652
0.00000	-0.15360
0.00000	-0.14684
0.00000	-0.14427
0.00000	-0.14749
0.00000	-0.14330
0.00000	-0.15006
0.00000	-0.14861
0.00000	-0.14926
0.00000	-0.14732
0.00000	-0.14765
0.00000	-0.14797
0.00000	-0.14845
0.00000	-0.14861
0.00000	-0.14716
0.00000	-0.14781
0.00000	-0.14926
0.00000	-0.15087
0.00000	-0.15135
0.00000	-0.14539
0.00000	-0.14571
0.00000	-0.14507
0.00000	-0.14974
0.00000	-0.14813
0.00000	-0.14394
0.00000	-0.14443
0.00000	-0.14523
0.00000	-0.14909
0.00000	-0.14781
0.00000	-0.14507
0.00000	-0.14813
0.00000	-0.14845
0.00000	-0.15022
0.00000	-0.14716
0.00000	-0.15344
0.00000	-0.15054
0.00000	-0.14684
0.00000	-0.14507
0.00000	-0.14684
0.00000	-0.14781
0.00000	-0.14539
0.00000	-0.15151
0.00000	-0.14877
0.00000	-0.14877
0.00000	-0.14571
0.00000	-0.15006
0.00000	-0.14829
0.00000	-0.14765
0.00000	-0.15457
0.00000	-0.15087
0.00000	-0.14958
0.00000	-0.14716
0.00000	-0.14491
0.01035	-0.14958
0.01035	-0.14604
0.01035	-0.14394
0.02070	-0.14716
0.02070	-0.14909
0.04139	-0.14958
0.10348	-0.15022
0.49671	-0.14765
1.09691	-0.15038
1.60397	-0.14861
2.11103	-0.14684
2.62844	-0.14861
3.16655	-0.14861
3.64257	-0.14684
3.94266	-0.14588
4.27380	-0.14507
4.61530	-0.14797
4.96713	-0.14475
5.25688	-0.14781
5.52594	-0.14974
5.79499	-0.14330
6.10544	-0.14700
6.44693	-0.15248
6.77807	-0.14732
7.10921	-0.14636
7.50244	-0.14926
7.87498	-0.14829
8.28891	-0.14861
8.74423	-0.14829
9.22024	-0.15199
9.73765	-0.14636
10.29646	-0.14668
10.95874	-0.14781
11.61068	-0.14974
12.22122	-0.14652
12.88350	-0.14974
13.43196	-0.14282
14.10459	-0.14684
15.02558	-0.14346
15.67752	-0.14024
16.28806	-0.13799
17.18835	-0.12978
18.02656	-0.10226
19.05103	-0.06845
20.13759	-0.04512
21.17241	-0.04930
22.14514	-0.06266
22.89021	-0.07200
23.48006	-0.08246
24.26652	-0.09630
24.90811	-0.10789
25.60144	-0.11175
26.32581	-0.11481
26.99844	-0.12061
27.82630	-0.12157
28.51963	-0.12656
29.25435	-0.12366
30.11325	-0.12914
