Black Body Radiation Experiment Wed, Mar 04, 2020 10:26 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.29106
0.00000	-0.31891
0.00000	-0.29251
0.00000	-0.29943
0.00000	-0.28832
0.00000	-0.31665
0.00000	-0.29492
0.00000	-0.32921
0.00000	-0.29911
0.00000	-0.30667
0.00000	-0.28607
0.00000	-0.29444
0.00000	-0.31359
0.00000	-0.32937
0.00000	-0.28173
0.00000	-0.29251
0.00000	-0.28865
0.00000	-0.27255
-0.01035	-0.29476
-0.01035	-0.29283
-0.01035	-0.30458
-0.02070	-0.31665
-0.02070	-0.30088
-0.02070	-0.29863
-0.02070	-0.26643
-0.01035	-0.29170
-0.01035	-0.30362
-0.01035	-0.31424
0.00000	-0.29283
0.00000	-0.27818
0.00000	-0.28849
0.00000	-0.31971
0.01035	-0.29814
0.03104	-0.28929
0.07244	-0.28752
0.27940	-0.29348
1.01412	-0.27963
1.96616	-0.28205
2.88715	-0.28849
3.39421	-0.28366
3.81848	-0.28961
4.06684	-0.28414
4.32555	-0.28366
4.51181	-0.29557
4.57390	-0.29170
4.57390	-0.27867
4.57390	-0.29814
4.57390	-0.27963
4.57390	-0.31021
4.57390	-0.32261
4.57390	-0.29058
4.57390	-0.27625
4.57390	-0.30088
4.57390	-0.32518
4.57390	-0.31376
4.57390	-0.29991
4.57390	-0.30040
4.57390	-0.33645
4.57390	-0.32905
4.57390	-0.32840
4.57390	-0.30233
4.57390	-0.28543
4.57390	-0.32293
4.57390	-0.32905
4.57390	-0.30281
4.57390	-0.30410
4.57390	-0.33822
4.57390	-0.32856
4.57390	-0.32470
4.57390	-0.30490
4.57390	-0.31054
4.57390	-0.33693
4.57390	-0.32631
4.57390	-0.28977
4.57390	-0.31343
4.57390	-0.34691
4.57390	-0.32792
4.58425	-0.31730
4.58425	-0.31005
4.58425	-0.31102
4.58425	-0.30748
4.58425	-0.34852
4.58425	-0.34643
4.59460	-0.31858
4.59460	-0.29927
4.59460	-0.30249
4.60495	-0.31424
4.60495	-0.34836
4.60495	-0.34353
4.61530	-0.29863
4.61530	-0.30893
4.63599	-0.34772
4.64634	-0.31971
4.67738	-0.31263
4.79121	-0.29975
4.99818	-0.29702
5.27758	-0.28913
5.55698	-0.29009
5.82603	-0.30603
6.05369	-0.33436
6.29170	-0.33838
6.52971	-0.32100
6.74702	-0.30474
6.86085	-0.29026
6.93329	-0.28591
6.99538	-0.29090
7.03677	-0.31842
7.04712	-0.31794
7.05747	-0.31585
7.06782	-0.30490
7.06782	-0.31633
7.07817	-0.27979
7.08851	-0.28044
7.09886	-0.30394
7.12991	-0.29138
7.16095	-0.31826
7.21269	-0.30877
7.30583	-0.30539
7.43000	-0.28414
7.57488	-0.27867
7.70941	-0.26740
7.84393	-0.27416
7.98881	-0.27947
8.13368	-0.28012
8.25786	-0.27690
8.37169	-0.30587
8.48552	-0.29557
8.59935	-0.31826
8.74423	-0.30700
8.88910	-0.30184
9.01328	-0.30619
9.13746	-0.31359
9.26164	-0.30716
9.41686	-0.29508
9.55139	-0.29187
9.70661	-0.27593
9.85148	-0.26643
9.99636	-0.26144
10.16193	-0.28671
10.39994	-0.26998
10.58620	-0.26193
10.76212	-0.26048
10.93804	-0.26257
11.09327	-0.27513
11.25884	-0.28446
11.44510	-0.30297
11.65207	-0.29798
11.84868	-0.28865
12.08669	-0.28945
12.27296	-0.27545
12.47992	-0.26305
12.69724	-0.27577
12.92490	-0.28173
13.14221	-0.30716
13.34917	-0.30442
13.54579	-0.29798
13.76310	-0.29508
13.95972	-0.25581
14.16668	-0.25340
14.44608	-0.26482
14.75653	-0.30442
14.93245	-0.29943
15.12906	-0.29170
15.31533	-0.27046
15.49125	-0.26016
15.63612	-0.24406
15.79135	-0.24004
16.06040	-0.25340
16.25702	-0.25002
16.46398	-0.21573
16.68129	-0.18998
16.98139	-0.15280
17.28149	-0.02789
17.55054	0.01042
17.84029	0.10651
18.09899	0.22047
18.38874	0.26891
18.73023	0.37096
19.05103	0.43003
19.34078	0.41362
19.57879	0.43937
19.73401	0.43840
19.88923	0.40396
20.03411	0.39639
20.19968	0.35809
20.37560	0.32219
20.53082	0.28903
20.72744	0.24638
20.92405	0.21596
21.13102	0.17443
21.30694	0.12260
21.46216	0.08269
21.60703	0.04937
21.76226	0.03440
21.92783	-0.03707
22.07270	-0.05960
22.22793	-0.09582
22.36245	-0.12173
22.49698	-0.13413
22.65220	-0.15215
22.82812	-0.15682
22.96265	-0.16825
23.09717	-0.16020
23.21100	-0.18966
23.33518	-0.20962
23.48006	-0.23086
23.62493	-0.23859
23.78015	-0.25195
23.92503	-0.27287
24.05956	-0.26837
24.18373	-0.26965
24.31826	-0.26933
24.44244	-0.28301
24.56662	-0.25468
24.71149	-0.25404
24.86672	-0.27400
25.01159	-0.27030
25.13577	-0.27094
25.24960	-0.28076
25.38413	-0.27513
25.50830	-0.30603
25.63248	-0.30136
25.77736	-0.31070
25.94293	-0.31794
26.08780	-0.33001
26.24303	-0.31778
26.38790	-0.31327
26.54312	-0.31005
26.73974	-0.29766
26.90531	-0.29879
27.09158	-0.28398
27.27784	-0.28462
27.48481	-0.30136
27.72282	-0.29846
27.92978	-0.30893
28.17814	-0.32019
28.44719	-0.30490
28.71624	-0.32245
28.96460	-0.33887
29.24400	-0.33227
29.51306	-0.34884
29.82350	-0.33565
30.16499	-0.33854
