Black Body Radiation Experiment Wed, Mar 04, 2020 10:24 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00616
0.00000	-0.00858
0.00000	-0.00793
0.00000	-0.01148
0.00000	-0.00954
0.00000	-0.00987
0.00000	-0.01341
0.00000	-0.01276
0.00000	-0.00890
0.00000	-0.00729
0.00000	-0.01035
0.00000	-0.00729
0.00000	-0.01051
0.00000	-0.01019
0.00000	-0.00729
0.00000	-0.00745
0.00000	-0.00649
0.00000	-0.00922
0.00000	-0.00665
0.00000	-0.00793
0.00000	-0.01244
0.00000	-0.01453
0.00000	-0.00616
0.00000	-0.00842
0.00000	-0.00681
0.00000	-0.01067
0.00000	-0.00632
0.00000	-0.00407
0.00000	-0.00858
0.00000	-0.00713
0.00000	-0.00826
0.00000	-0.00858
0.00000	-0.00552
0.00000	-0.00439
0.00000	-0.00600
0.00000	-0.00858
0.00000	-0.00600
0.00000	-0.00793
0.01035	-0.01099
0.01035	-0.00632
0.01035	-0.00375
0.01035	-0.00842
0.00000	-0.00890
0.00000	-0.00826
0.00000	-0.00681
0.00000	-0.00568
0.00000	-0.00793
0.00000	-0.00954
0.00000	-0.00632
0.00000	-0.00375
0.00000	-0.00810
0.00000	-0.00906
0.01035	-0.01003
0.01035	-0.01051
0.01035	-0.00729
0.01035	-0.01099
0.01035	-0.00874
0.01035	-0.00278
0.01035	-0.00890
0.01035	-0.01212
0.01035	-0.01003
0.01035	-0.00568
0.01035	-0.00504
0.01035	-0.01067
0.01035	-0.00890
0.01035	-0.00681
0.01035	-0.00761
0.01035	-0.00745
0.01035	-0.00874
0.01035	-0.00488
0.01035	-0.00439
0.01035	-0.01437
0.01035	-0.00810
0.01035	-0.00584
0.01035	-0.00439
0.01035	-0.00697
0.01035	-0.00600
0.01035	-0.00568
0.01035	-0.00777
0.01035	-0.01003
0.01035	-0.00777
0.01035	-0.00327
0.01035	-0.00681
0.01035	-0.01148
0.01035	-0.00423
0.01035	-0.00713
0.01035	-0.00745
0.01035	-0.01115
0.01035	-0.00488
0.01035	-0.00584
0.02070	-0.00665
0.02070	-0.00842
0.02070	-0.00568
0.02070	-0.00439
0.02070	-0.00343
0.02070	-0.00472
0.02070	-0.01196
0.03104	-0.00182
0.03104	-0.00665
0.03104	-0.00262
0.03104	-0.00745
0.03104	-0.01067
0.03104	-0.00874
0.03104	-0.00407
0.03104	-0.00407
0.03104	-0.00536
0.04139	-0.00439
0.04139	-0.00568
0.04139	-0.00713
0.05174	-0.00536
0.05174	-0.00552
0.06209	-0.00472
0.06209	-0.00826
0.06209	-0.00922
0.06209	-0.00729
0.06209	-0.00343
0.06209	-0.00552
0.06209	-0.00423
0.06209	-0.00536
0.06209	-0.00294
0.07244	-0.00874
0.07244	-0.00150
0.07244	-0.00439
0.07244	-0.00423
0.08279	-0.00311
0.08279	-0.00600
0.10348	-0.00600
0.12418	-0.00745
0.42428	-0.00777
1.17969	-0.00311
2.15242	-0.00391
2.91819	-0.00262
3.50804	-0.00504
3.89092	-0.00278
4.12893	-0.00423
4.29450	-0.00375
4.48077	-0.00150
4.73947	-0.00826
4.95679	-0.00439
5.12236	-0.01115
5.24654	-0.00391
5.32932	-0.00826
5.39141	-0.00214
5.46385	-0.00568
5.52594	-0.00455
5.60872	-0.00568
5.68116	-0.00890
5.77429	-0.00584
5.88812	-0.00568
6.05369	-0.00520
6.19857	-0.00681
6.32275	-0.00810
6.46762	-0.00520
6.65389	-0.00858
6.85051	-0.00214
7.05747	-0.00552
7.27478	-0.00214
7.43000	-0.00311
7.57488	-0.00472
7.70941	0.00060
7.84393	0.00108
8.01985	-0.00246
8.21647	-0.00713
8.35099	-0.00697
8.48552	-0.00359
8.59935	-0.00407
8.71318	-0.00343
8.82701	-0.00085
8.94084	-0.00552
9.06502	-0.00085
9.19955	-0.00488
9.31338	0.00124
9.42721	-0.00391
9.53069	-0.00101
9.62382	-0.00166
9.73765	-0.00745
9.88253	0.00108
10.02740	-0.00568
10.16193	-0.00343
10.29646	-0.00230
10.41029	-0.00311
10.52412	-0.00262
10.62760	-0.00391
10.73108	0.00237
10.82421	-0.00053
10.92770	0.00269
11.00013	0.00349
11.07257	-0.00053
11.16570	-0.00053
11.24849	-0.00037
11.33127	-0.00472
11.44510	-0.00729
11.57963	-0.00150
11.71416	0.00365
11.85903	0.00205
11.97286	-0.00568
12.10739	-0.00198
12.24192	-0.00117
12.36609	-0.00150
12.45923	-0.00182
12.58341	-0.00150
12.70758	0.00044
12.84211	0.00092
12.97664	0.00285
13.10082	0.00253
13.22499	0.00092
13.33882	0.00060
13.44231	-0.00037
13.56649	-0.00069
13.69066	-0.00101
