Black Body Radiation Experiment Wed, Mar 04, 2020 10:23 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.03079
0.00000	-0.03337
0.00000	-0.03208
0.00000	-0.03272
0.00000	-0.03160
0.00000	-0.03304
0.00000	-0.03337
0.00000	-0.02982
0.00000	-0.03111
0.00000	-0.03224
0.00000	-0.02677
0.00000	-0.03385
0.00000	-0.03176
0.00000	-0.03691
0.00000	-0.03626
0.00000	-0.03047
0.00000	-0.03240
0.00000	-0.03449
0.00000	-0.03079
0.00000	-0.02789
0.00000	-0.02661
0.00000	-0.03031
0.00000	-0.02870
0.00000	-0.02934
0.00000	-0.02982
0.00000	-0.03047
0.00000	-0.03047
0.00000	-0.03224
0.00000	-0.03320
0.00000	-0.03160
0.00000	-0.03449
0.00000	-0.03047
0.00000	-0.02693
0.00000	-0.03240
0.00000	-0.03160
0.00000	-0.02966
0.00000	-0.02838
0.00000	-0.02886
0.00000	-0.03353
0.01035	-0.03063
0.01035	-0.02870
0.01035	-0.03095
0.01035	-0.03224
0.01035	-0.03578
0.01035	-0.03047
0.02070	-0.03481
0.02070	-0.03401
0.02070	-0.03353
0.02070	-0.02822
0.02070	-0.03320
0.02070	-0.03675
0.03104	-0.02999
0.04139	-0.03015
0.06209	-0.02999
0.15522	-0.03272
0.43462	-0.02934
0.82786	-0.02902
1.25213	-0.03095
1.69710	-0.03160
2.27660	-0.03353
2.83541	-0.03127
3.39421	-0.02999
3.90127	-0.02982
4.46007	-0.03095
5.02922	-0.02693
5.60872	-0.02982
6.17787	-0.02886
6.80911	-0.02902
7.35757	-0.02999
7.91637	-0.02644
8.47517	-0.02902
9.19955	-0.02677
9.77905	-0.02805
10.33785	-0.02500
10.95874	-0.03063
11.73485	-0.02548
12.34540	-0.02757
12.90420	-0.02934
13.50440	-0.02725
14.27016	-0.02741
14.95314	-0.02773
15.77065	-0.02950
16.55711	-0.02226
17.42636	-0.01968
18.69919	0.00623
19.82714	0.03504
21.01719	0.04228
22.18653	0.03198
23.38692	0.02410
24.14234	0.01074
24.92880	0.01009
25.69457	-0.00021
26.42929	-0.00294
27.19506	-0.00600
27.89874	-0.00922
28.72659	-0.00761
29.53375	-0.01437
30.34091	-0.01840
