Black Body Radiation Experiment Wed, Mar 04, 2020 10:27 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.47713
0.00000	-0.45894
0.00000	-0.44317
0.00000	-0.46699
0.00000	-0.46731
0.00000	-0.46119
0.00000	-0.43866
0.00000	-0.45170
0.00000	-0.46377
0.00000	-0.47874
0.00000	-0.47874
0.00000	-0.45266
0.00000	-0.46924
0.00000	-0.45347
0.00000	-0.45073
0.00000	-0.45781
0.00000	-0.46699
0.00000	-0.46377
0.00000	-0.43721
0.00000	-0.44317
0.00000	-0.44574
0.00000	-0.47053
0.00000	-0.45476
0.00000	-0.43802
0.00000	-0.46393
0.01035	-0.47327
0.01035	-0.45331
0.01035	-0.44462
0.01035	-0.43995
0.01035	-0.44059
0.01035	-0.47488
0.01035	-0.45717
0.01035	-0.43464
0.01035	-0.44623
0.01035	-0.44091
0.01035	-0.45862
0.01035	-0.44590
0.01035	-0.43287
0.01035	-0.44397
0.01035	-0.43367
0.02070	-0.46103
0.02070	-0.45604
0.02070	-0.44429
0.02070	-0.42868
0.02070	-0.45234
0.02070	-0.44301
0.02070	-0.44671
0.02070	-0.44671
0.02070	-0.43592
0.02070	-0.45991
0.02070	-0.46876
0.02070	-0.47037
0.03104	-0.44429
0.03104	-0.41661
0.03104	-0.43625
0.03104	-0.42530
0.03104	-0.44639
0.04139	-0.45540
0.04139	-0.43496
0.04139	-0.45315
0.04139	-0.43319
0.04139	-0.43206
0.04139	-0.44301
0.04139	-0.46103
0.05174	-0.44220
0.05174	-0.44623
0.05174	-0.43029
0.05174	-0.45637
0.06209	-0.45637
0.06209	-0.45395
0.06209	-0.42337
0.06209	-0.44655
0.07244	-0.45299
0.07244	-0.43689
0.08279	-0.44735
0.08279	-0.42675
0.09313	-0.43979
0.10348	-0.45234
0.11383	-0.44590
0.11383	-0.45041
0.12418	-0.45765
0.13453	-0.46844
0.13453	-0.44944
0.13453	-0.45894
0.13453	-0.42804
0.14487	-0.44703
0.14487	-0.45073
0.15522	-0.45234
0.15522	-0.44751
0.16557	-0.43689
0.16557	-0.43174
0.17592	-0.43093
0.17592	-0.44043
0.17592	-0.44252
0.18627	-0.45524
0.19662	-0.46023
0.19662	-0.44349
0.20696	-0.44268
0.22766	-0.42369
0.24836	-0.43319
0.49671	-0.42144
0.82786	-0.44494
1.28318	-0.42289
1.82128	-0.43657
2.30765	-0.43528
2.81471	-0.41484
3.24933	-0.43496
3.66326	-0.43238
3.89092	-0.42820
4.06684	-0.43383
4.21172	-0.42369
4.32555	-0.42450
4.41868	-0.42997
4.49112	-0.43946
4.53251	-0.43077
4.56355	-0.43802
4.59460	-0.42836
4.61530	-0.42385
4.66704	-0.40856
4.73947	-0.40518
4.89470	-0.42643
5.09131	-0.43335
5.27758	-0.42240
5.48454	-0.43544
5.71220	-0.43254
5.91917	-0.42916
6.14683	-0.43045
6.35379	-0.41725
6.54006	-0.41999
6.71598	-0.40985
6.86085	-0.40985
6.98503	-0.39584
7.06782	-0.40454
7.17130	-0.39810
7.23339	-0.40325
7.28513	-0.39440
7.34722	-0.40663
7.41966	-0.38796
7.45070	-0.39617
7.49209	-0.41371
7.53349	-0.39230
7.58523	-0.40148
7.64732	-0.39407
7.70941	-0.39762
7.79219	-0.39955
7.89567	-0.40647
8.00950	-0.40631
8.14403	-0.42176
8.25786	-0.42337
8.37169	-0.42240
8.49587	-0.41757
8.59935	-0.42482
8.71318	-0.40953
8.82701	-0.41307
8.90980	-0.39939
8.98223	-0.40325
9.04432	-0.41709
9.10641	-0.40502
9.14781	-0.40550
9.18920	-0.41403
9.22024	-0.41806
9.25129	-0.40518
9.30303	-0.40067
9.34442	-0.39005
9.39616	-0.40631
9.44790	-0.40534
9.48930	-0.40679
9.57208	-0.40840
9.67556	-0.41291
9.77905	-0.42788
9.90322	-0.41983
10.01705	-0.41677
10.14123	-0.42643
10.28611	-0.42868
10.46203	-0.39923
10.61725	-0.41516
10.84491	-0.40872
11.05187	-0.40792
11.20710	-0.40518
11.40371	-0.42031
11.60033	-0.42771
11.80729	-0.41886
12.05565	-0.42192
12.26261	-0.41725
12.49027	-0.41178
12.69724	-0.39971
12.92490	-0.41081
13.11116	-0.41661
13.29743	-0.43045
13.50440	-0.41677
13.69066	-0.42144
13.86658	-0.42771
14.04250	-0.40759
14.20807	-0.40470
14.37364	-0.40212
14.52887	-0.41081
14.67374	-0.40856
14.78757	-0.41854
14.92210	-0.42981
15.03593	-0.43206
15.16011	-0.43480
15.28429	-0.42949
15.43951	-0.41951
15.60508	-0.41178
15.78100	-0.40148
15.95692	-0.38925
16.13284	-0.40116
16.36050	-0.38715
16.56746	-0.38281
16.79512	-0.35158
17.08487	-0.32728
17.46776	-0.28156
17.88168	-0.20511
18.27491	-0.13300
18.64745	-0.04801
18.92685	0.00253
19.17521	0.03955
19.42356	0.08269
19.63053	0.08365
19.83749	0.05806
19.99271	0.04293
20.16863	0.04164
20.39629	0.01460
20.62395	-0.01759
20.84127	-0.04544
21.06893	-0.07216
21.28624	-0.10902
21.48286	-0.13187
21.66912	-0.17082
21.81400	-0.19996
21.92783	-0.21300
22.05201	-0.23521
22.17618	-0.25066
22.27967	-0.26595
22.37280	-0.27400
22.46593	-0.28285
22.57976	-0.30442
22.70394	-0.32374
22.84882	-0.34176
22.99369	-0.36542
23.16961	-0.35995
23.34553	-0.37460
23.53180	-0.38345
23.72841	-0.37782
23.92503	-0.37154
24.12165	-0.38973
24.30791	-0.38812
24.46314	-0.38619
24.58731	-0.38844
24.71149	-0.40776
24.85637	-0.41114
25.02194	-0.41548
25.17716	-0.40727
25.30134	-0.41307
25.43587	-0.43093
25.56004	-0.42546
25.69457	-0.42562
25.82910	-0.43576
25.98432	-0.42804
26.14989	-0.44349
26.33616	-0.42884
26.58452	-0.42643
26.84322	-0.41323
27.14332	-0.43512
27.54690	-0.43029
27.98152	-0.43319
28.36441	-0.42788
28.80938	-0.41967
29.23365	-0.42739
29.64758	-0.42691
30.06151	-0.41918
