Black Body Radiation Experiment Wed, Mar 04, 2020 10:27 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.54457
0.00000	-0.53765
0.00000	-0.55745
0.00000	-0.55198
0.00000	-0.54779
0.00000	-0.53282
0.00000	-0.53974
0.00000	-0.55198
0.00000	-0.55648
0.00000	-0.54167
0.00000	-0.52831
0.00000	-0.54731
0.00000	-0.52236
0.00000	-0.54827
0.00000	-0.54554
0.00000	-0.54312
0.00000	-0.52236
0.00000	-0.54715
0.00000	-0.55906
0.00000	-0.51302
0.00000	-0.52574
0.00000	-0.53137
0.00000	-0.52188
0.00000	-0.54634
0.00000	-0.55342
0.00000	-0.52316
0.00000	-0.53556
0.00000	-0.55246
0.00000	-0.53572
0.00000	-0.51238
0.00000	-0.54216
0.00000	-0.54972
0.00000	-0.52848
0.00000	-0.52831
0.00000	-0.55326
0.00000	-0.53491
0.00000	-0.52493
0.00000	-0.51978
0.00000	-0.55391
0.00000	-0.53524
0.00000	-0.51866
0.00000	-0.52928
0.00000	-0.54280
0.00000	-0.54473
0.00000	-0.52139
0.00000	-0.53910
0.01035	-0.54200
0.01035	-0.54779
0.01035	-0.53733
0.01035	-0.51850
0.01035	-0.53974
0.01035	-0.55648
0.01035	-0.52815
0.01035	-0.52831
0.01035	-0.53829
0.01035	-0.54586
0.01035	-0.51962
0.01035	-0.53073
0.01035	-0.54538
0.01035	-0.54827
0.01035	-0.52011
0.01035	-0.52880
0.02070	-0.54860
0.02070	-0.53218
0.02070	-0.51882
0.03104	-0.52590
0.03104	-0.55487
0.03104	-0.55004
0.04139	-0.55584
0.04139	-0.52799
0.04139	-0.52027
0.04139	-0.54232
0.05174	-0.56244
0.05174	-0.54312
0.05174	-0.54505
0.06209	-0.55439
0.06209	-0.53829
0.07244	-0.53202
0.08279	-0.53958
0.09313	-0.55085
0.11383	-0.55262
0.15522	-0.56694
0.49671	-0.56630
1.32457	-0.52397
2.03859	-0.52252
2.73192	-0.54489
3.50804	-0.54457
3.99440	-0.55632
4.43938	-0.54972
4.62564	-0.54554
4.64634	-0.55165
4.63599	-0.55793
4.63599	-0.55149
4.63599	-0.55198
4.63599	-0.54280
4.63599	-0.52365
4.63599	-0.52252
4.63599	-0.56163
4.63599	-0.55664
4.63599	-0.52542
4.63599	-0.53845
4.63599	-0.55729
4.64634	-0.55584
4.64634	-0.54602
4.64634	-0.53556
4.64634	-0.56195
4.64634	-0.57483
4.65669	-0.54988
4.65669	-0.55809
4.66704	-0.56759
4.66704	-0.55729
4.67738	-0.56807
4.67738	-0.54071
4.68773	-0.53878
4.70843	-0.57435
4.74982	-0.54876
4.84296	-0.55230
4.95679	-0.55294
5.11201	-0.55326
5.27758	-0.55375
5.43280	-0.55825
5.58803	-0.55471
5.73290	-0.55938
5.84673	-0.54843
5.92952	-0.54811
5.98126	-0.54876
6.00195	-0.54505
6.00195	-0.55391
6.00195	-0.54377
6.01230	-0.57725
6.01230	-0.58079
6.02265	-0.56501
6.02265	-0.56743
6.03300	-0.57515
6.03300	-0.56179
6.04335	-0.55455
6.04335	-0.53524
6.05369	-0.54280
6.05369	-0.57934
6.05369	-0.57934
6.06404	-0.56115
6.06404	-0.55761
6.06404	-0.54602
6.06404	-0.54023
6.07439	-0.53894
6.08474	-0.54296
6.09509	-0.55584
6.10544	-0.57467
6.11578	-0.56566
6.12613	-0.57757
6.14683	-0.56855
6.15718	-0.54602
6.18822	-0.55874
6.23996	-0.54183
