Black Body Radiation Experiment Wed, Mar 04, 2020 10:23 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01164
0.00000	-0.01824
0.00000	-0.01260
0.00000	-0.01486
0.00000	-0.01421
0.00000	-0.01292
0.00000	-0.01131
0.00000	-0.01469
0.00000	-0.01083
0.00000	-0.01325
0.00000	-0.01325
0.00000	-0.01244
0.00000	-0.01373
0.00000	-0.01695
0.00000	-0.01663
0.00000	-0.01148
0.00000	-0.00922
0.00000	-0.01051
0.00000	-0.01405
-0.01035	-0.01292
-0.01035	-0.01115
-0.01035	-0.01550
-0.01035	-0.01679
-0.01035	-0.01357
-0.01035	-0.01469
-0.01035	-0.01437
-0.01035	-0.01421
-0.01035	-0.01083
-0.01035	-0.01518
-0.01035	-0.01276
-0.01035	-0.01630
-0.01035	-0.01357
-0.01035	-0.01453
-0.01035	-0.01003
-0.01035	-0.01598
-0.01035	-0.01341
-0.01035	-0.01469
-0.01035	-0.01115
-0.01035	-0.00890
0.00000	-0.01469
0.00000	-0.01405
0.00000	-0.01212
0.00000	-0.01373
0.00000	-0.01357
0.00000	-0.01534
0.00000	-0.01759
0.00000	-0.01341
0.00000	-0.01437
0.00000	-0.01469
0.00000	-0.01341
0.00000	-0.01292
0.00000	-0.01824
0.00000	-0.01888
0.00000	-0.01405
0.00000	-0.01357
0.00000	-0.01582
0.00000	-0.01968
0.00000	-0.01727
0.00000	-0.01051
0.00000	-0.01357
0.01035	-0.01759
0.01035	-0.01099
0.01035	-0.01775
0.01035	-0.01695
0.02070	-0.01148
0.02070	-0.01453
0.02070	-0.02017
0.02070	-0.01421
0.03104	-0.01421
0.03104	-0.01325
0.04139	-0.01325
0.04139	-0.01341
0.05174	-0.01373
0.08279	-0.01614
0.21731	-0.01244
0.83820	-0.01260
1.45910	-0.01099
2.06964	-0.01373
2.88715	-0.01244
3.73570	-0.01099
4.25311	-0.01212
4.57390	-0.01228
4.70843	-0.01292
4.73947	-0.01469
4.73947	-0.01228
4.72913	-0.01308
4.72913	-0.01276
4.72913	-0.00922
4.72913	-0.01164
4.72913	-0.01518
4.73947	-0.01196
4.74982	-0.00890
4.77052	-0.01405
4.83261	-0.01212
5.00853	-0.01534
5.23619	-0.01630
5.52594	-0.01437
5.81569	-0.01276
6.05369	-0.02017
6.32275	-0.01180
6.62285	-0.01341
6.95399	-0.01405
7.27478	-0.00970
7.55418	-0.01131
7.82324	-0.01325
8.09229	-0.01148
8.37169	-0.01003
8.67179	-0.01405
8.97189	-0.01663
9.25129	-0.01807
9.52034	-0.01373
9.74800	-0.01630
9.96531	-0.01228
10.15158	-0.01486
10.36889	-0.01276
10.57586	-0.01357
10.80352	-0.01373
11.04153	-0.01260
11.25884	-0.01453
11.47615	-0.01550
11.68311	-0.01357
11.93147	-0.01164
12.10739	-0.01325
12.33505	-0.01115
12.55236	-0.01196
12.73863	-0.01260
12.92490	-0.01469
13.12151	-0.01486
13.30778	-0.01357
13.52509	-0.01389
13.73206	-0.01308
13.93902	-0.01276
14.11494	-0.01598
14.27016	-0.00970
14.41504	-0.01196
14.57026	-0.01614
14.70479	-0.01502
14.84966	-0.01469
15.02558	-0.01695
15.19115	-0.01453
15.35672	-0.01502
15.48090	-0.01856
15.63612	-0.01373
15.79135	-0.01791
15.95692	-0.01212
16.11214	-0.01131
16.24667	-0.01099
16.40189	-0.01421
16.54677	-0.01115
16.69164	-0.01019
16.86756	-0.00793
17.08487	-0.00311
17.33323	-0.00488
17.59193	0.00446
17.79890	0.00188
18.06795	0.01090
18.25422	0.02039
18.52327	0.03182
18.77163	0.03955
19.04068	0.05516
19.30973	0.06530
19.58914	0.07528
19.84784	0.07963
20.11689	0.08671
20.30316	0.08607
20.55152	0.09138
20.73778	0.08928
20.98614	0.08091
21.18276	0.07770
21.37937	0.06997
21.56564	0.06916
21.75191	0.06418
21.90713	0.05790
22.04166	0.05130
22.18653	0.04309
22.36245	0.03585
22.53837	0.03375
22.71429	0.02715
22.90056	0.02683
23.07648	0.02265
23.21100	0.01766
23.34553	0.01734
23.49041	0.00864
23.65598	0.00462
23.81120	0.00526
23.97677	0.00591
24.14234	0.00124
24.29756	-0.00230
24.44244	0.00156
24.62871	-0.00632
24.81497	-0.00874
25.03229	-0.00697
25.23925	-0.00906
25.47726	-0.00777
25.70492	-0.00842
25.93258	-0.01196
26.19128	-0.00745
26.40860	-0.01212
26.61556	-0.00954
26.87427	-0.01373
27.15367	-0.01582
27.42272	-0.01469
27.70212	-0.01421
28.02292	-0.01325
28.33336	-0.01308
28.65416	-0.01131
28.99565	-0.01276
29.32679	-0.01325
29.67863	-0.01341
29.98907	-0.01325
30.33056	-0.01260
