Black Body Radiation Experiment Wed, Mar 04, 2020 10:23 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.06314
0.00000	-0.06218
0.00000	-0.06089
0.00000	-0.05992
0.00000	-0.06266
0.00000	-0.06330
0.00000	-0.06073
0.00000	-0.06588
0.00000	-0.06443
0.00000	-0.06540
0.00000	-0.06330
0.00000	-0.06346
0.00000	-0.05751
0.00000	-0.06089
0.00000	-0.06507
0.00000	-0.06153
0.00000	-0.06073
0.00000	-0.06282
0.00000	-0.05864
0.01035	-0.05912
0.01035	-0.06105
0.01035	-0.06008
0.01035	-0.06346
0.01035	-0.06330
0.01035	-0.05719
0.00000	-0.06282
0.01035	-0.05896
0.01035	-0.06330
0.01035	-0.06121
0.00000	-0.06057
0.00000	-0.06346
0.01035	-0.06169
0.01035	-0.05831
0.01035	-0.06025
0.01035	-0.06314
0.01035	-0.05751
0.01035	-0.06266
0.01035	-0.06186
0.01035	-0.05719
0.01035	-0.05815
0.01035	-0.05896
0.01035	-0.05880
0.01035	-0.06057
0.01035	-0.06556
0.01035	-0.06025
0.01035	-0.06121
0.01035	-0.06008
0.01035	-0.06137
0.01035	-0.06025
0.00000	-0.06008
0.00000	-0.06008
0.00000	-0.06121
0.00000	-0.06250
0.00000	-0.05735
0.00000	-0.06057
0.00000	-0.06186
0.00000	-0.05767
0.00000	-0.05944
0.00000	-0.06153
0.00000	-0.06169
0.00000	-0.06459
0.00000	-0.06025
0.00000	-0.06507
0.00000	-0.06234
0.00000	-0.06057
0.00000	-0.05590
0.00000	-0.05960
0.00000	-0.05992
0.00000	-0.06459
0.00000	-0.05912
0.00000	-0.05976
0.00000	-0.06169
0.00000	-0.05880
0.00000	-0.05638
0.00000	-0.05751
0.00000	-0.06025
0.00000	-0.05960
0.00000	-0.05831
0.00000	-0.06057
0.01035	-0.06057
0.01035	-0.06314
0.01035	-0.06266
0.01035	-0.06089
0.01035	-0.06153
0.01035	-0.05976
0.01035	-0.05928
0.01035	-0.05896
0.01035	-0.06008
0.01035	-0.06057
0.01035	-0.05526
0.01035	-0.06169
0.01035	-0.06218
0.02070	-0.06250
0.03104	-0.05799
0.05174	-0.05590
0.08279	-0.05783
0.22766	-0.06105
0.58985	-0.05831
0.97273	-0.05880
1.25213	-0.05670
1.51084	-0.05864
1.71780	-0.05831
1.95581	-0.06169
2.20417	-0.06346
2.38009	-0.06041
2.56635	-0.06057
2.72158	-0.05976
2.85610	-0.05751
3.00098	-0.05831
3.13550	-0.05574
3.27003	-0.06105
3.39421	-0.05831
3.51839	-0.06025
3.71500	-0.06314
3.96336	-0.05944
4.27380	-0.06057
4.60495	-0.05783
4.98783	-0.06025
5.41211	-0.05848
5.77429	-0.05928
6.20892	-0.05831
6.57110	-0.06186
6.93329	-0.06282
7.33687	-0.06202
7.75080	-0.06363
8.20612	-0.05912
8.66144	-0.05719
9.14781	-0.05928
9.66522	-0.05944
10.23437	-0.05670
10.79317	-0.05542
11.40371	-0.05510
11.93147	-0.06234
12.49027	-0.05815
12.99733	-0.06186
13.68032	-0.06186
14.25981	-0.05767
14.73583	-0.06121
15.27394	-0.05477
15.88448	-0.05413
16.79512	-0.05139
17.68507	-0.03433
18.62675	0.00188
19.41322	0.04599
20.22038	0.07448
20.99649	0.07399
21.85539	0.05709
22.37280	0.04277
22.86951	0.02732
23.40762	0.01524
23.96642	0.00671
24.45279	-0.00938
25.03229	-0.01502
25.51865	-0.01985
26.06711	-0.02822
26.62591	-0.03272
27.25715	-0.03771
27.82630	-0.03787
28.36441	-0.04592
28.90251	-0.04463
29.50271	-0.04512
30.00977	-0.04721
