Black Body Radiation Experiment Wed, Mar 04, 2020 9:54 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01727
0.00000	-0.01695
0.00000	-0.01647
0.00000	-0.01663
0.00000	-0.01647
0.00000	-0.01985
0.00000	-0.01888
-0.01035	-0.01437
-0.01035	-0.01775
-0.01035	-0.01389
-0.01035	-0.01647
-0.01035	-0.01260
-0.01035	-0.01743
-0.01035	-0.02097
-0.02070	-0.01566
-0.02070	-0.01453
-0.02070	-0.01131
-0.02070	-0.01872
-0.02070	-0.01566
-0.02070	-0.01759
-0.02070	-0.01647
-0.02070	-0.01405
-0.02070	-0.01357
-0.02070	-0.01292
-0.02070	-0.01920
-0.02070	-0.01711
-0.02070	-0.01083
-0.02070	-0.01968
-0.02070	-0.01437
-0.02070	-0.01759
-0.02070	-0.01292
-0.02070	-0.01534
-0.02070	-0.01373
-0.02070	-0.01695
-0.02070	-0.01276
-0.02070	-0.01437
-0.02070	-0.01308
-0.02070	-0.02065
-0.02070	-0.01582
-0.02070	-0.01469
-0.02070	-0.01888
-0.02070	-0.01614
-0.02070	-0.01888
-0.02070	-0.01614
-0.02070	-0.01373
-0.02070	-0.01985
-0.02070	-0.01727
-0.02070	-0.01630
-0.02070	-0.01421
-0.02070	-0.01759
-0.02070	-0.01679
-0.02070	-0.01469
-0.02070	-0.01920
-0.02070	-0.01502
-0.02070	-0.01566
-0.02070	-0.01486
-0.02070	-0.01389
-0.02070	-0.01695
-0.02070	-0.01759
-0.02070	-0.01486
-0.02070	-0.01920
-0.03104	-0.01711
-0.03104	-0.01341
-0.03104	-0.01502
-0.03104	-0.01807
-0.03104	-0.01695
-0.03104	-0.01695
-0.03104	-0.01486
-0.03104	-0.01614
-0.03104	-0.01711
-0.03104	-0.01743
-0.03104	-0.01308
-0.03104	-0.01453
-0.03104	-0.01244
-0.03104	-0.01598
-0.03104	-0.01647
-0.03104	-0.01856
-0.03104	-0.01518
-0.03104	-0.01711
-0.03104	-0.01791
-0.03104	-0.01486
-0.03104	-0.01630
-0.03104	-0.01936
-0.03104	-0.01791
-0.03104	-0.01486
-0.03104	-0.01518
-0.02070	-0.01920
-0.02070	-0.02065
-0.02070	-0.01486
-0.02070	-0.01695
-0.02070	-0.01566
-0.02070	-0.01502
-0.01035	-0.01196
-0.01035	-0.01486
-0.01035	-0.01695
-0.01035	-0.01550
0.00000	-0.01308
0.00000	-0.01469
0.00000	-0.01695
0.00000	-0.01437
0.00000	-0.01164
0.00000	-0.01663
0.00000	-0.01566
0.01035	-0.01244
0.01035	-0.01663
0.01035	-0.01711
0.01035	-0.01759
0.02070	-0.01228
0.02070	-0.01421
0.02070	-0.01421
0.02070	-0.01453
0.03104	-0.01437
0.03104	-0.01630
0.03104	-0.01389
0.03104	-0.01695
0.03104	-0.01453
0.04139	-0.02049
0.04139	-0.01598
0.05174	-0.01453
0.05174	-0.01824
0.06209	-0.01614
0.06209	-0.01469
0.06209	-0.01711
0.06209	-0.01486
0.07244	-0.01840
0.07244	-0.01711
0.07244	-0.01550
0.08279	-0.01453
0.09313	-0.01389
0.09313	-0.01566
0.10348	-0.01518
0.12418	-0.01695
0.18627	-0.01308
0.34149	-0.01437
0.55880	-0.01260
0.77611	-0.01373
0.98308	-0.01598
1.20039	-0.01180
1.38666	-0.01421
1.51084	-0.01695
1.62467	-0.01647
1.69710	-0.01775
1.73850	-0.01630
1.77989	-0.01566
1.83163	-0.01518
1.90407	-0.01775
1.97651	-0.01453
2.05929	-0.01405
2.16277	-0.01325
2.29730	-0.01180
2.46287	-0.01164
2.63879	-0.01099
2.79401	-0.01115
2.96993	-0.01373
3.14585	-0.01148
3.33212	-0.01341
3.50804	-0.01308
3.70465	-0.01148
3.92197	-0.00970
4.11858	-0.01421
4.41868	-0.01437
4.63599	-0.01373
4.83261	-0.01791
5.02922	-0.01437
5.21549	-0.01373
5.40176	-0.01260
5.58803	-0.01260
5.74325	-0.00938
5.86743	-0.01164
6.12613	-0.01228
6.31240	-0.00777
6.52971	-0.01003
6.86085	-0.01148
7.10921	-0.01341
7.37826	-0.01212
7.62662	-0.00970
7.91637	-0.00906
8.17507	-0.01357
8.47517	-0.00649
8.72353	-0.00745
9.08572	-0.00810
9.31338	-0.01260
9.50999	-0.00874
9.70661	-0.00938
9.90322	-0.00874
10.11019	-0.00954
10.30680	-0.01341
10.48272	-0.01003
10.66899	-0.01276
10.87595	-0.00987
11.07257	-0.01019
11.28988	-0.00938
11.51754	-0.01228
11.74520	-0.01260
12.00391	-0.01180
12.32470	-0.00906
12.60410	-0.00970
12.95594	-0.01067
13.36987	-0.00665
13.88728	-0.00600
14.38399	-0.00729
14.84966	-0.00890
15.33603	-0.00488
15.86378	-0.00810
16.65025	0.00398
17.18835	0.00961
17.89203	0.02699
18.51292	0.06418
19.03033	0.10216
19.42356	0.12743
19.78575	0.14884
20.11689	0.15834
20.34455	0.16011
20.53082	0.15753
20.71709	0.15608
20.84127	0.15061
20.96545	0.14401
21.07928	0.13645
21.21380	0.12824
21.34833	0.12035
21.47251	0.11423
21.62773	0.10924
21.79330	0.10393
21.95887	0.09250
22.15549	0.08494
22.35210	0.07818
22.52802	0.06916
22.73499	0.06096
22.93160	0.05049
23.09717	0.04695
23.25240	0.04132
23.42832	0.03939
23.62493	0.03182
23.80085	0.02876
24.01816	0.01991
24.23548	0.01589
24.47348	0.01299
24.71149	0.01042
24.93915	0.01058
25.16681	0.00816
25.39447	0.00671
25.67387	0.00607
25.91188	0.00124
26.16024	-0.00214
26.40860	-0.00455
26.69835	-0.00455
26.96740	-0.00037
27.21576	-0.00665
27.53655	-0.00005
27.81595	-0.00455
28.10570	-0.00568
28.43684	-0.00472
28.77833	-0.00278
29.09913	-0.00536
29.38888	-0.00874
29.66828	-0.00649
29.89594	-0.00826
30.13395	-0.00053
