Black Body Radiation Experiment Wed, Mar 04, 2020 9:56 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.03562
0.00000	-0.03626
0.00000	-0.03498
0.00000	-0.03433
0.00000	-0.03948
0.00000	-0.03755
0.00000	-0.03546
0.00000	-0.03771
0.00000	-0.03755
0.00000	-0.03417
0.00000	-0.03578
0.00000	-0.03562
0.00000	-0.03514
0.00000	-0.03980
0.00000	-0.03562
0.00000	-0.03578
0.00000	-0.03369
0.00000	-0.03739
0.00000	-0.03755
0.00000	-0.04013
0.00000	-0.03707
0.00000	-0.03562
0.00000	-0.03481
0.00000	-0.03530
0.00000	-0.03562
0.00000	-0.03707
0.00000	-0.03723
0.00000	-0.03723
0.00000	-0.03658
0.00000	-0.03578
0.00000	-0.03755
0.00000	-0.03691
0.00000	-0.03964
0.00000	-0.03530
0.00000	-0.03498
0.00000	-0.03433
0.00000	-0.03900
0.00000	-0.03948
0.00000	-0.03691
0.00000	-0.03803
0.00000	-0.03819
0.00000	-0.03401
0.01035	-0.03948
0.01035	-0.03433
0.01035	-0.03530
0.01035	-0.03996
0.01035	-0.04109
0.01035	-0.03546
0.01035	-0.03192
0.01035	-0.03208
0.01035	-0.03916
0.01035	-0.03626
0.01035	-0.03739
0.01035	-0.04045
0.02070	-0.03707
0.02070	-0.03900
0.02070	-0.04174
0.02070	-0.03819
0.02070	-0.03771
0.02070	-0.03530
0.03104	-0.03852
0.03104	-0.03707
0.03104	-0.03417
0.03104	-0.03594
0.04139	-0.03755
0.04139	-0.03610
0.04139	-0.03433
0.04139	-0.03578
0.04139	-0.03578
0.04139	-0.04029
0.04139	-0.04029
0.04139	-0.03626
0.04139	-0.03465
0.05174	-0.03465
0.05174	-0.04061
0.05174	-0.03836
0.06209	-0.03996
0.06209	-0.03803
0.07244	-0.03787
0.07244	-0.03916
0.08279	-0.03739
0.09313	-0.03337
0.10348	-0.03948
0.12418	-0.03610
0.16557	-0.03224
0.31045	-0.03675
0.58985	-0.03723
0.92099	-0.03675
1.29352	-0.04029
1.80059	-0.03916
2.38009	-0.04270
2.92854	-0.03546
3.61152	-0.03723
4.03580	-0.03996
4.35659	-0.03900
4.57390	-0.04222
4.73947	-0.03723
4.87400	-0.03578
4.97748	-0.03916
5.06027	-0.03787
5.12236	-0.03642
5.15340	-0.03771
5.19479	-0.03948
5.22584	-0.03610
5.26723	-0.03578
5.30862	-0.03755
5.38106	-0.03530
5.48454	-0.03610
5.62942	-0.03465
5.81569	-0.03626
6.08474	-0.03514
6.38484	-0.03320
6.71598	-0.03385
7.07817	-0.03465
7.38861	-0.03852
7.78184	-0.03868
8.16473	-0.03980
8.54761	-0.04157
8.92015	-0.04077
9.22024	-0.03272
9.49964	-0.03948
9.78939	-0.03739
10.04810	-0.03449
10.30680	-0.03369
10.58620	-0.03417
10.84491	-0.03047
11.09327	-0.03288
11.39336	-0.03481
11.61068	-0.03658
11.90043	-0.03176
12.14878	-0.03353
12.42818	-0.03224
12.78002	-0.03675
13.08012	-0.03578
13.47335	-0.03433
13.84589	-0.03610
14.27016	-0.03723
14.63235	-0.03111
14.98419	-0.03514
15.39812	-0.03369
15.79135	-0.02741
16.14319	-0.02339
16.68129	-0.02741
17.22975	-0.01582
17.75750	-0.00343
18.48188	0.02619
19.21660	0.05645
20.09620	0.07593
20.98614	0.08011
21.88643	0.06144
22.74534	0.04325
23.26274	0.03118
23.81120	0.02088
24.37000	0.01396
24.89776	0.01122
25.41517	0.00414
25.84979	-0.00616
26.33616	-0.00906
26.78113	-0.01308
27.24680	-0.01099
27.71247	-0.01389
28.26092	-0.01679
28.73694	-0.02226
29.10948	-0.02644
29.52340	-0.02564
29.96838	-0.02982
30.42370	-0.03063
