Black Body Radiation Experiment Wed, Mar 04, 2020 10:00 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.08648
0.00000	-0.08632
0.00000	-0.08696
0.00000	-0.09179
0.01035	-0.09099
0.01035	-0.08970
0.02070	-0.09067
0.02070	-0.08954
0.02070	-0.08761
0.03104	-0.09244
0.03104	-0.08777
0.04139	-0.09324
0.04139	-0.08857
0.05174	-0.09276
0.05174	-0.08906
0.06209	-0.08857
0.06209	-0.08890
0.06209	-0.08552
0.06209	-0.09018
0.06209	-0.09421
0.06209	-0.08922
0.06209	-0.08986
0.05174	-0.08761
0.05174	-0.09099
0.05174	-0.08713
0.05174	-0.09212
0.05174	-0.08938
0.04139	-0.08986
0.04139	-0.09131
0.04139	-0.08745
0.03104	-0.09533
0.03104	-0.09340
0.02070	-0.08890
0.02070	-0.09002
0.01035	-0.09260
0.01035	-0.09179
0.01035	-0.08906
0.00000	-0.09485
-0.01035	-0.08970
-0.01035	-0.09614
-0.01035	-0.09067
-0.02070	-0.09195
-0.02070	-0.09099
-0.02070	-0.08729
-0.03104	-0.08890
-0.03104	-0.09340
-0.03104	-0.08986
-0.03104	-0.08777
-0.03104	-0.08664
-0.03104	-0.09131
-0.03104	-0.09292
-0.03104	-0.09195
-0.02070	-0.09018
-0.02070	-0.09035
-0.02070	-0.09067
-0.02070	-0.09067
-0.02070	-0.09163
-0.02070	-0.08874
-0.02070	-0.09179
-0.02070	-0.08986
-0.02070	-0.08375
-0.02070	-0.09292
-0.02070	-0.09356
-0.02070	-0.09051
-0.02070	-0.09228
-0.02070	-0.09308
-0.02070	-0.09179
-0.02070	-0.09163
-0.02070	-0.08439
-0.02070	-0.08680
-0.02070	-0.09147
-0.02070	-0.09115
-0.02070	-0.08922
-0.02070	-0.08584
-0.02070	-0.09018
-0.02070	-0.09035
-0.03104	-0.09292
-0.03104	-0.09276
-0.03104	-0.08664
-0.03104	-0.09083
-0.03104	-0.09212
-0.03104	-0.09469
-0.03104	-0.08713
-0.03104	-0.09115
-0.03104	-0.09501
-0.03104	-0.09324
-0.03104	-0.08487
-0.03104	-0.08745
-0.03104	-0.09356
-0.03104	-0.09694
-0.03104	-0.08874
-0.03104	-0.09437
-0.03104	-0.08922
-0.03104	-0.09244
-0.03104	-0.08890
-0.03104	-0.08825
-0.03104	-0.08841
-0.03104	-0.09340
-0.03104	-0.09389
-0.03104	-0.08986
-0.03104	-0.09276
-0.03104	-0.09533
-0.03104	-0.08938
-0.03104	-0.08970
-0.03104	-0.09035
-0.03104	-0.09646
-0.03104	-0.08793
-0.03104	-0.08954
-0.03104	-0.08841
-0.03104	-0.09405
-0.03104	-0.08970
-0.03104	-0.09324
-0.03104	-0.09002
-0.03104	-0.09276
-0.03104	-0.09694
-0.03104	-0.09598
-0.03104	-0.08777
-0.02070	-0.08874
-0.02070	-0.09099
-0.02070	-0.09437
-0.02070	-0.09163
-0.02070	-0.08777
-0.02070	-0.09533
-0.02070	-0.09711
-0.02070	-0.08938
-0.01035	-0.09099
-0.01035	-0.09356
-0.01035	-0.09373
-0.01035	-0.09405
0.00000	-0.09517
0.00000	-0.08857
0.01035	-0.09727
0.01035	-0.09469
0.02070	-0.08825
0.04139	-0.09067
0.11383	-0.09260
0.30010	-0.09550
0.65194	-0.09115
1.05552	-0.09453
1.57293	-0.08986
2.14208	-0.08841
2.80436	-0.08841
3.44595	-0.09099
3.88057	-0.08970
4.38764	-0.09373
4.87400	-0.09630
5.23619	-0.09002
5.52594	-0.09533
5.80534	-0.09276
5.99161	-0.09453
6.14683	-0.09356
6.23996	-0.09308
6.28136	-0.09485
6.31240	-0.09147
6.33310	-0.09131
6.34344	-0.09405
6.36414	-0.09308
6.37449	-0.08857
6.38484	-0.08680
6.39519	-0.08890
6.40553	-0.08970
6.41588	-0.08986
6.42623	-0.09405
6.43658	-0.09453
6.45727	-0.09550
6.46762	-0.09035
6.47797	-0.09212
6.48832	-0.09179
6.49867	-0.09324
6.50902	-0.08970
6.52971	-0.09018
6.55041	-0.08938
6.59180	-0.09051
6.64354	-0.09115
6.71598	-0.09244
6.80911	-0.09067
6.94364	-0.09260
7.09886	-0.09228
7.26443	-0.09517
7.48175	-0.09453
7.68871	-0.09421
7.93707	-0.09469
8.15438	-0.09195
8.38204	-0.08906
8.60970	-0.09292
8.77527	-0.09324
8.93049	-0.09775
9.05467	-0.09260
9.15815	-0.09292
9.19955	-0.09147
9.23059	-0.09163
9.26164	-0.09228
9.28233	-0.09421
9.31338	-0.09195
9.33407	-0.09083
9.36512	-0.08922
9.40651	-0.09131
9.44790	-0.08922
9.50999	-0.09292
9.58243	-0.09356
9.65487	-0.09244
9.75835	-0.09308
9.87218	-0.09308
9.98601	-0.09501
10.09984	-0.08906
10.25506	-0.09002
10.41029	-0.09018
10.57586	-0.08632
