Black Body Radiation Experiment Wed, Mar 04, 2020 9:29 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.55381
0.00000	0.55783
0.00000	0.55606
0.00000	0.55590
0.00000	0.56025
0.00000	0.55928
0.00000	0.55397
0.00000	0.55928
0.00000	0.55558
0.00000	0.55880
0.00000	0.55558
0.00000	0.56009
0.00000	0.55671
0.00000	0.55462
0.00000	0.55301
0.00000	0.55912
0.00000	0.56121
0.00000	0.55285
0.00000	0.55816
0.00000	0.55445
0.00000	0.55735
0.00000	0.55848
0.00000	0.55961
0.00000	0.55220
0.00000	0.55494
0.00000	0.55800
0.00000	0.55639
0.00000	0.55671
0.00000	0.55445
0.00000	0.56025
0.00000	0.55285
-0.01035	0.55397
-0.01035	0.55655
-0.01035	0.55848
-0.01035	0.55864
-0.01035	0.55655
-0.01035	0.55606
-0.01035	0.56025
-0.01035	0.55542
-0.01035	0.55800
-0.01035	0.55413
-0.01035	0.55993
-0.01035	0.56089
-0.01035	0.55558
-0.01035	0.55671
-0.01035	0.56073
-0.01035	0.55542
-0.01035	0.55864
-0.01035	0.55751
-0.01035	0.55462
-0.01035	0.55816
-0.01035	0.55735
-0.01035	0.55671
-0.01035	0.55864
-0.01035	0.55655
-0.01035	0.55783
-0.01035	0.55783
0.00000	0.55912
0.00000	0.55977
0.00000	0.55928
0.00000	0.55606
0.00000	0.55381
0.00000	0.55590
0.00000	0.55961
0.00000	0.56105
0.00000	0.55687
0.00000	0.56089
0.00000	0.55606
0.00000	0.56009
0.00000	0.55848
0.00000	0.55816
0.00000	0.55751
0.00000	0.55542
0.00000	0.55977
0.00000	0.55944
0.00000	0.55542
0.00000	0.55639
0.00000	0.55735
0.00000	0.55751
0.00000	0.55751
0.00000	0.55671
0.00000	0.55687
0.00000	0.55993
0.00000	0.55961
0.00000	0.55912
0.00000	0.55880
0.00000	0.56009
0.00000	0.55639
0.00000	0.55494
0.00000	0.55751
0.00000	0.55462
0.00000	0.55864
0.00000	0.55462
0.00000	0.55526
0.00000	0.56057
0.00000	0.55751
0.00000	0.55832
0.00000	0.55977
0.00000	0.55606
0.00000	0.55623
0.00000	0.55912
0.00000	0.55961
0.00000	0.55671
